"","gene_id","WTn_1_WTn_2_WTn_3_0","WTn_1_WTn_2_WTn_3_1","WTn_1_WTn_2_WTn_3_2","WT6h_1_WT6h_2_WT6h_3_0","WT6h_1_WT6h_2_WT6h_3_1","WT6h_1_WT6h_2_WT6h_3_2","KOn_1_KOn_2_KOn_3_0","KOn_1_KOn_2_KOn_3_1","KOn_1_KOn_2_KOn_3_2","KO6h_1_KO6h_2_KO6h_3_0","KO6h_1_KO6h_2_KO6h_3_1","KO6h_1_KO6h_2_KO6h_3_2","gene_short_name"
"19515","XLOC_019515",103.976,91.6006,88.0541,922.605,875.335,815.009,106.533,95.5189,105.741,929.149,907.434,873.392,"Zfp36"
"19516","XLOC_019516",4.17625,4.21893,3.0242,4.80055,5.1734,5.72706,4.13374,3.82706,3.44873,5.80916,5.02925,4.93192,"Med29"
"19517","XLOC_019517",8.15532,8.81612,8.93136,32.4723,31.5054,27.2517,8.23661,8.10777,8.77077,32.3869,28.6035,26.4189,"Samd4b"
"19518","XLOC_019518",0,0,0,0,0,0,0,0,0,0,0,0,"Il28a"
"19519","XLOC_019519",0,0,0,0,0,0,0,0,0,0,0,0,"Nccrp1"
"19520","XLOC_019520",2.17382,1.83583,2.10159,5.27029,4.57352,5.2677,2.35771,2.62896,2.64992,5.01044,4.74435,5.18826,"Pak4"
"19521","XLOC_019521",0,0,0,0,0,0,0,0,0,0,0,0,"C330005M16Rik"
"19522","XLOC_019522",13.2899,8.83218,10.056,10.1467,12.3091,12.8795,12.4807,11.1174,11.2066,10.9301,8.01719,9.73127,"Mrps12"
"19523","XLOC_019523",7.0386,7.50874,6.78114,107.407,102.641,100.555,7.19853,7.21273,8.30325,91.4967,87.4497,84.8455,"Nfkbib"
"19524","XLOC_019524",0.0824808,0.214805,0.118033,0.0789764,0.131735,0.249393,0.152348,0.163219,0.0716596,0,0.0827697,0.0436082,"Gm19897"
"19525","XLOC_019525",3.25947,2.84433,3.01586,2.22919,2.04461,2.0572,3.09988,3.23494,3.84537,1.85157,1.88461,2.17422,"Hnrnpl"
"19526","XLOC_019526",33.4085,31.3189,33.0993,28.4602,26.0163,25.9469,27.8992,31.3308,28.6045,25.2868,23.6388,21.7798,"Actn4"
"19527","XLOC_019527",73.7826,73.4427,70.7581,65.7131,63.7881,69.5268,87.4437,83.9376,75.9314,74.4215,83.9642,73.5051,"Eif3k"
"19528","XLOC_019528",0.00677542,0.0076472,0.00196095,0,0,0,0.0199686,0.0103162,0.0109603,0.00358891,0.00362479,0.00368318,"Ryr1"
"19529","XLOC_019529",0,0,0,0,0,0,0,0,0,0,0,0,"Mir1963"
"19530","XLOC_019530",4.19633,4.19982,3.75757,1.26965,0.838019,1.24046,4.62042,3.91884,4.12412,0.607442,0.733267,1.03406,"Fam98c"
"19531","XLOC_019531",0.371835,0.395434,0.387682,0.216729,0.176231,0.0940728,0.321844,0.465961,0.369439,0.104285,0.123663,0.212376,"Spred3"
"19532","XLOC_019532",66.2439,68.3656,67.406,183.075,184.668,181.039,69.9615,76.332,79.9374,185.4,180.471,179.142,"Psmd8"
"19533","XLOC_019533",0.152365,0.269475,0.233506,0.0219439,0.0474933,0.0257845,0.133266,0.230642,0.107533,0.045332,0.0478471,0.0768728,"Catsperg1"
"19534","XLOC_019534",12.2627,13.0815,12.641,4.56803,4.49297,4.75071,15.7314,14.9766,16.0681,4.63836,5.26374,5.44451,"Kcnk6"
"19535","XLOC_019535",0.0963635,0,0.0820955,0,0.163359,0.295087,0,0.0730851,0,0,0,0,"2200002D01Rik"
"19536","XLOC_019536",0.0839239,0.427512,0.580819,1.30968,1.17585,1.37174,0.173833,0.741149,0.605643,2.01866,2.37868,1.67057,"Spint2"
"19537","XLOC_019537",2.51935,2.06707,2.16879,0.872209,0.740807,0.58356,1.67208,1.56195,1.74194,0.380742,0.559925,0.364269,"Sipa1l3"
"19538","XLOC_019538",0,0,0,0,0,0,0,0,0,0,0,0,"Catsperg2"
"19539","XLOC_019539",0.165307,0.22527,0.141499,0.0211471,0,0.0257038,0.070562,0.202543,0.158175,0,0,0.0250081,"Zfp940"
"19540","XLOC_019540",1.18736,1.15782,1.2016,0.873483,0.513089,0.840821,1.1441,0.830506,0.930964,0.697021,0.668406,0.6196,"Zfp27"
"19541","XLOC_019541",1.74005,1.65715,1.63031,0.428122,0.684487,0.778112,1.99121,1.56063,1.59795,0.621013,0.726092,0.631811,"Zfp74"
"19542","XLOC_019542",0.767349,0.801161,0.670201,0.275772,0.149592,0.262934,0.588657,0.61146,0.598375,0.186007,0.129098,0.164092,"Zfp14"
"19543","XLOC_019543",1.22243,0.917581,1.13419,0.351017,0.375085,0.494823,1.14678,0.662692,1.17308,0.461158,0.203108,0.240222,"Zfp82"
"19544","XLOC_019544",0.278204,0.394629,0.347791,0.033412,0.0360387,0.0730935,0.476063,0.356208,0.418208,0.0344927,0.070499,0.0374616,"Zfp566"
"19545","XLOC_019545",7.02419,6.6468,6.36954,2.82016,2.27828,3.17043,5.76638,5.46726,5.459,1.68042,2.0712,2.72191,"Zfp146"
"19546","XLOC_019546",117.121,123.452,121.761,181.276,191.968,192.93,136.489,141.553,162.793,198.49,211.943,205.975,"Capns1"
"19547","XLOC_019547",23.1339,23.7554,22.5544,26.3465,27.6852,28.4133,21.3854,24.6603,24.283,28.5169,28.4725,28.9591,"Tbcb"
"19548","XLOC_019548",2.17066,2.10093,2.01272,2.11387,1.99995,1.4837,1.92983,2.25293,2.18206,2.80206,2.48816,2.28986,"Wdr62"
"19549","XLOC_019549",5.7197,3.39586,4.13164,2.23889,2.47021,2.35431,4.07745,4.28892,5.49653,1.30804,1.24876,1.36286,"Sdhaf1"
"19550","XLOC_019550",0.0523385,0.0797988,0.0753419,0,0.0723107,0,0.098596,0.0270053,0.0852135,0.160678,0.0668874,0.0339722,"Lrfn3"
"19551","XLOC_019551",1.09414,0.70702,1.02504,0.418128,0.293702,0.212224,0.691428,1.49378,1.12658,0.425715,0.5829,0.511514,NA
"19552","XLOC_019552",37.7968,29.7752,28.6652,38.2915,41.5844,47.4384,26.3621,33.2918,22.8115,31.071,41.159,44.4289,"Hcst"
